lat;lon;
-7.586164;110.801455; 
-7.585760;110.799953;
-7.584654;110.799524;
-7.583080;110.799985;
-7.582601;110.800328;
-7.582946;110.801612;
-7.586034;110.804775;
-7.585165;110.799352;
-7.583302;110.802971;
-7.584080;110.805470;
-7.585202;110.805068;
-7.586758;110.803619;
-7.586580;110.803030;
-7.586839;110.803959;
